Located in /predictions_BASECOL/extra/compiled_error.dat

File	B	mu	Charge	Multiplicity	MeanAbsolutePercentError
C2Hm_2.dat	1.389000	3.450359	-1	1	61.14
C2Hm.dat	1.389000	3.450359	-1	1	66.24
C2Nm.dat	0.394300	3.621205	-1	1	39.50
C3.dat	0.430500	3.602107	0	1	84.51
C5Hp.dat	0.080454	3.756167	1	1	51.12
C6H-.dat	0.045927	3.794568	-1	1	40.61
CFp.dat	1.720000	3.544877	1	1	87.39
CHp.dat	13.953400	3.060779	1	1	91.76
HC3N.dat	0.151740	3.711386	0	1	195.17
HCN.dat	1.478216	3.486026	0	1	64.36
HNC.dat	1.512106	3.486026	0	1	80.58
NCCNH+.dat	0.148000	3.721617	1	1	59.61
AlCN.dat	0.168000	3.722400	0	1	62.75
AlNC.dat	0.200000	3.722400	0	1	85.81
CNm.dat	1.872390	3.468700	-1	1	89.97
CO.dat	1.925000	3.501400	0	1	93.33
HCOp.dat	1.487501	3.517200	1	1	71.73
CO2.dat	0.390219	3.668845	0	1	129.94
