0.00	0.00	0.00
0.00	0.00	30.00
0.00	0.00	60.00
0.00	0.00	90.00
0.00	0.00	120.00
0.00	0.00	150.00
0.00	0.00	180.00
0.00	30.00	0.00
0.00	30.00	30.00
0.00	30.00	60.00
0.00	30.00	90.00
0.00	30.00	120.00
0.00	30.00	150.00
0.00	30.00	180.00
0.00	60.00	0.00
0.00	60.00	30.00
0.00	60.00	60.00
0.00	60.00	90.00
0.00	60.00	120.00
0.00	60.00	150.00
0.00	60.00	180.00
0.00	90.00	0.00
0.00	90.00	30.00
0.00	90.00	60.00
0.00	90.00	90.00
0.00	90.00	120.00
0.00	90.00	150.00
0.00	90.00	180.00
30.00	0.00	0.00
30.00	0.00	30.00
30.00	0.00	60.00
30.00	0.00	90.00
30.00	0.00	120.00
30.00	0.00	150.00
30.00	0.00	180.00
30.00	30.00	0.00
30.00	30.00	30.00
30.00	30.00	60.00
30.00	30.00	90.00
30.00	30.00	120.00
30.00	30.00	150.00
30.00	30.00	180.00
30.00	60.00	0.00
30.00	60.00	30.00
30.00	60.00	60.00
30.00	60.00	90.00
30.00	60.00	120.00
30.00	60.00	150.00
30.00	60.00	180.00
30.00	90.00	0.00
30.00	90.00	30.00
30.00	90.00	60.00
30.00	90.00	90.00
30.00	90.00	120.00
30.00	90.00	150.00
30.00	90.00	180.00
60.00	0.00	0.00
60.00	0.00	30.00
60.00	0.00	60.00
60.00	0.00	90.00
60.00	0.00	120.00
60.00	0.00	150.00
60.00	0.00	180.00
60.00	30.00	0.00
60.00	30.00	30.00
60.00	30.00	60.00
60.00	30.00	90.00
60.00	30.00	120.00
60.00	30.00	150.00
60.00	30.00	180.00
60.00	60.00	0.00
60.00	60.00	30.00
60.00	60.00	60.00
60.00	60.00	90.00
60.00	60.00	120.00
60.00	60.00	150.00
60.00	60.00	180.00
60.00	90.00	0.00
60.00	90.00	30.00
60.00	90.00	60.00
60.00	90.00	90.00
60.00	90.00	120.00
60.00	90.00	150.00
60.00	90.00	180.00
90.00	0.00	0.00
90.00	0.00	30.00
90.00	0.00	60.00
90.00	0.00	90.00
90.00	0.00	120.00
90.00	0.00	150.00
90.00	0.00	180.00
90.00	30.00	0.00
90.00	30.00	30.00
90.00	30.00	60.00
90.00	30.00	90.00
90.00	30.00	120.00
90.00	30.00	150.00
90.00	30.00	180.00
90.00	60.00	0.00
90.00	60.00	30.00
90.00	60.00	60.00
90.00	60.00	90.00
90.00	60.00	120.00
90.00	60.00	150.00
90.00	60.00	180.00
90.00	90.00	0.00
90.00	90.00	30.00
90.00	90.00	60.00
90.00	90.00	90.00
90.00	90.00	120.00
90.00	90.00	150.00
90.00	90.00	180.00
