2.00	0
2.00	5
2.00	10
2.00	15
2.00	20
2.00	25
2.00	30
2.00	35
2.00	40
2.00	45
2.00	50
2.00	55
2.00	60
2.00	65
2.00	70
2.00	75
2.00	80
2.00	85
2.00	90
2.10	0
2.10	5
2.10	10
2.10	15
2.10	20
2.10	25
2.10	30
2.10	35
2.10	40
2.10	45
2.10	50
2.10	55
2.10	60
2.10	65
2.10	70
2.10	75
2.10	80
2.10	85
2.10	90
2.20	0
2.20	5
2.20	10
2.20	15
2.20	20
2.20	25
2.20	30
2.20	35
2.20	40
2.20	45
2.20	50
2.20	55
2.20	60
2.20	65
2.20	70
2.20	75
2.20	80
2.20	85
2.20	90
2.30	0
2.30	5
2.30	10
2.30	15
2.30	20
2.30	25
2.30	30
2.30	35
2.30	40
2.30	45
2.30	50
2.30	55
2.30	60
2.30	65
2.30	70
2.30	75
2.30	80
2.30	85
2.30	90
2.40	0
2.40	5
2.40	10
2.40	15
2.40	20
2.40	25
2.40	30
2.40	35
2.40	40
2.40	45
2.40	50
2.40	55
2.40	60
2.40	65
2.40	70
2.40	75
2.40	80
2.40	85
2.40	90
2.50	0
2.50	5
2.50	10
2.50	15
2.50	20
2.50	25
2.50	30
2.50	35
2.50	40
2.50	45
2.50	50
2.50	55
2.50	60
2.50	65
2.50	70
2.50	75
2.50	80
2.50	85
2.50	90
2.60	0
2.60	5
2.60	10
2.60	15
2.60	20
2.60	25
2.60	30
2.60	35
2.60	40
2.60	45
2.60	50
2.60	55
2.60	60
2.60	65
2.60	70
2.60	75
2.60	80
2.60	85
2.60	90
2.70	0
2.70	5
2.70	10
2.70	15
2.70	20
2.70	25
2.70	30
2.70	35
2.70	40
2.70	45
2.70	50
2.70	55
2.70	60
2.70	65
2.70	70
2.70	75
2.70	80
2.70	85
2.70	90
2.80	0
2.80	5
2.80	10
2.80	15
2.80	20
2.80	25
2.80	30
2.80	35
2.80	40
2.80	45
2.80	50
2.80	55
2.80	60
2.80	65
2.80	70
2.80	75
2.80	80
2.80	85
2.80	90
2.90	0
2.90	5
2.90	10
2.90	15
2.90	20
2.90	25
2.90	30
2.90	35
2.90	40
2.90	45
2.90	50
2.90	55
2.90	60
2.90	65
2.90	70
2.90	75
2.90	80
2.90	85
2.90	90
3.00	0
3.00	5
3.00	10
3.00	15
3.00	20
3.00	25
3.00	30
3.00	35
3.00	40
3.00	45
3.00	50
3.00	55
3.00	60
3.00	65
3.00	70
3.00	75
3.00	80
3.00	85
3.00	90
3.10	0
3.10	5
3.10	10
3.10	15
3.10	20
3.10	25
3.10	30
3.10	35
3.10	40
3.10	45
3.10	50
3.10	55
3.10	60
3.10	65
3.10	70
3.10	75
3.10	80
3.10	85
3.10	90
3.20	0
3.20	5
3.20	10
3.20	15
3.20	20
3.20	25
3.20	30
3.20	35
3.20	40
3.20	45
3.20	50
3.20	55
3.20	60
3.20	65
3.20	70
3.20	75
3.20	80
3.20	85
3.20	90
3.30	0
3.30	5
3.30	10
3.30	15
3.30	20
3.30	25
3.30	30
3.30	35
3.30	40
3.30	45
3.30	50
3.30	55
3.30	60
3.30	65
3.30	70
3.30	75
3.30	80
3.30	85
3.30	90
3.40	0
3.40	5
3.40	10
3.40	15
3.40	20
3.40	25
3.40	30
3.40	35
3.40	40
